age,job,salary,marital,education,targeted,balance,housing,contact,default
36,unemployed,8000,single,secondary,yes,244,yes,unknown,no
59,blue-collar,20000,married,secondary,yes,87,no,unknown,no
29,blue-collar,20000,single,secondary,yes,-167,yes,unknown,no
38,technician,60000,married,secondary,yes,625,yes,unknown,no
36,blue-collar,20000,divorced,secondary,yes,-159,yes,unknown,no
43,management,100000,divorced,tertiary,no,350,yes,unknown,no
32,blue-collar,20000,single,secondary,yes,255,no,unknown,no
26,services,70000,single,secondary,yes,-74,yes,unknown,no
32,management,100000,married,tertiary,yes,944,yes,unknown,no
30,admin.,50000,single,secondary,yes,705,yes,unknown,no
25,blue-collar,20000,divorced,secondary,yes,720,yes,unknown,no
29,management,100000,married,tertiary,yes,941,yes,unknown,no
29,self-employed,60000,married,tertiary,yes,0,yes,unknown,yes
52,admin.,50000,married,secondary,yes,531,no,unknown,no
44,management,100000,married,tertiary,yes,7454,no,unknown,no
56,technician,60000,married,secondary,yes,62,no,unknown,no
55,unknown,0,married,tertiary,yes,0,no,unknown,no
35,self-employed,60000,married,tertiary,yes,182,no,unknown,no
59,housemaid,16000,married,primary,yes,0,no,unknown,no
41,management,100000,married,tertiary,yes,5,no,unknown,no
36,admin.,50000,single,secondary,yes,135,no,unknown,no
56,retired,55000,divorced,primary,yes,0,no,unknown,no
43,management,100000,married,tertiary,yes,356,no,unknown,no
56,technician,60000,married,primary,yes,314,yes,unknown,no
48,admin.,50000,married,secondary,yes,395,no,unknown,no
53,retired,55000,married,secondary,yes,1630,no,unknown,no
39,blue-collar,20000,single,primary,yes,-491,no,unknown,no
50,unemployed,8000,married,primary,yes,705,no,unknown,no
35,blue-collar,20000,married,secondary,yes,344,no,unknown,no
46,services,70000,married,secondary,yes,198,no,unknown,no
39,technician,60000,married,secondary,yes,9121,no,unknown,no
40,blue-collar,20000,married,primary,yes,11,yes,unknown,yes
49,blue-collar,20000,married,unknown,no,1944,no,unknown,no
39,admin.,50000,married,secondary,yes,835,yes,unknown,no
56,unemployed,8000,married,primary,yes,882,no,unknown,no
43,entrepreneur,120000,married,tertiary,yes,-250,no,unknown,yes
33,blue-collar,20000,married,secondary,yes,1240,yes,unknown,no
53,housemaid,16000,married,primary,yes,1903,no,unknown,no
51,management,100000,divorced,tertiary,no,119,no,unknown,no
47,entrepreneur,120000,divorced,tertiary,no,0,no,unknown,no
38,admin.,50000,divorced,secondary,yes,0,no,unknown,no
60,blue-collar,20000,married,secondary,yes,0,no,unknown,no
38,management,100000,married,primary,yes,1365,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,-3,no,unknown,no
38,management,100000,married,secondary,yes,1574,no,unknown,no
54,self-employed,60000,married,secondary,yes,153,yes,unknown,no
59,admin.,50000,single,secondary,yes,848,no,unknown,no
59,retired,55000,married,secondary,yes,56,no,unknown,no
37,technician,60000,divorced,secondary,yes,325,yes,unknown,yes
40,management,100000,single,tertiary,no,-222,yes,unknown,no
41,technician,60000,married,secondary,yes,261,no,unknown,no
51,admin.,50000,married,secondary,yes,0,no,unknown,no
46,technician,60000,married,secondary,yes,488,no,unknown,no
59,unknown,0,married,unknown,no,3940,no,unknown,no
49,entrepreneur,120000,married,tertiary,yes,9824,no,unknown,no
48,blue-collar,20000,married,primary,yes,257,yes,unknown,no
35,management,100000,married,tertiary,yes,-640,yes,unknown,no
36,management,100000,married,unknown,no,0,no,unknown,no
50,technician,60000,married,primary,yes,883,yes,unknown,no
52,unknown,0,married,primary,yes,8251,no,unknown,no
44,blue-collar,20000,married,secondary,yes,1910,yes,unknown,no
51,unknown,0,divorced,unknown,no,1649,no,unknown,no
36,blue-collar,20000,married,secondary,yes,1772,no,unknown,no
58,blue-collar,20000,married,secondary,yes,590,no,unknown,no
39,services,70000,single,secondary,yes,0,no,unknown,no
42,admin.,50000,married,secondary,yes,4209,yes,unknown,no
57,management,100000,married,tertiary,yes,561,no,unknown,no
46,technician,60000,single,tertiary,no,2800,no,unknown,no
53,management,100000,married,tertiary,yes,1619,no,unknown,no
51,admin.,50000,married,primary,yes,2281,yes,unknown,no
43,housemaid,16000,married,primary,yes,522,no,unknown,no
30,entrepreneur,120000,married,secondary,yes,2551,yes,unknown,no
25,blue-collar,20000,single,secondary,yes,150,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,440,yes,unknown,no
37,blue-collar,20000,married,primary,yes,213,no,unknown,no
53,management,100000,married,tertiary,yes,0,no,unknown,yes
59,retired,55000,married,secondary,yes,0,no,unknown,no
55,retired,55000,divorced,secondary,yes,282,yes,unknown,no
37,blue-collar,20000,married,secondary,yes,-97,yes,unknown,no
48,services,70000,divorced,secondary,yes,0,no,unknown,no
44,technician,60000,married,secondary,yes,296,yes,unknown,no
37,blue-collar,20000,married,secondary,yes,151,yes,unknown,no
42,blue-collar,20000,divorced,secondary,yes,1037,no,unknown,no
37,services,70000,married,secondary,yes,2132,no,unknown,no
37,self-employed,60000,single,secondary,yes,125,no,unknown,no
52,housemaid,16000,married,primary,yes,1340,no,unknown,no
57,technician,60000,married,primary,yes,67,no,unknown,no
23,services,70000,married,secondary,yes,2673,yes,unknown,no
44,services,70000,married,secondary,yes,382,no,unknown,no
40,blue-collar,20000,married,secondary,yes,6536,no,unknown,no
44,technician,60000,married,secondary,yes,533,no,unknown,no
59,retired,55000,divorced,primary,yes,-88,yes,unknown,no
45,management,100000,married,secondary,yes,0,no,unknown,no
38,admin.,50000,single,unknown,no,13,no,unknown,no
48,retired,55000,single,secondary,yes,3458,no,unknown,no
47,entrepreneur,120000,married,secondary,yes,0,no,unknown,no
60,retired,55000,married,secondary,yes,8590,no,unknown,no
47,unemployed,8000,married,primary,yes,2946,no,unknown,no
52,housemaid,16000,married,secondary,yes,14363,no,unknown,no
60,housemaid,16000,married,tertiary,yes,443,no,unknown,no
58,entrepreneur,120000,married,tertiary,yes,853,no,unknown,no
56,management,100000,divorced,tertiary,no,41,no,unknown,no
32,blue-collar,20000,single,secondary,yes,313,yes,unknown,no
26,services,70000,married,secondary,yes,682,yes,unknown,no
58,retired,55000,divorced,secondary,yes,219,no,unknown,no
51,services,70000,married,secondary,yes,540,yes,unknown,no
57,management,100000,married,secondary,yes,4046,no,unknown,no
36,blue-collar,20000,married,secondary,yes,0,no,unknown,no
41,admin.,50000,single,secondary,yes,2790,yes,unknown,no
51,unknown,0,single,unknown,no,0,no,unknown,no
55,retired,55000,divorced,tertiary,no,1218,no,unknown,no
42,services,70000,married,secondary,yes,1007,no,unknown,no
45,blue-collar,20000,married,unknown,no,419,no,unknown,no
37,self-employed,60000,married,tertiary,yes,144,yes,unknown,no
57,blue-collar,20000,married,primary,yes,60,no,unknown,no
47,blue-collar,20000,married,primary,yes,421,yes,unknown,no
39,technician,60000,single,secondary,yes,681,yes,unknown,no
37,services,70000,single,secondary,yes,244,no,unknown,no
39,blue-collar,20000,married,primary,yes,3503,no,unknown,no
50,management,100000,married,tertiary,yes,15442,no,unknown,no
37,management,100000,single,tertiary,no,240,no,unknown,no
37,blue-collar,20000,single,primary,yes,0,no,unknown,no
37,entrepreneur,120000,married,unknown,no,983,no,unknown,no
46,management,100000,divorced,tertiary,no,743,no,unknown,no
47,technician,60000,married,secondary,yes,89,no,unknown,no
59,blue-collar,20000,married,primary,yes,3587,no,unknown,no
42,blue-collar,20000,married,primary,yes,1401,yes,unknown,no
60,retired,55000,married,tertiary,yes,9397,no,unknown,no
39,services,70000,married,secondary,yes,-119,no,unknown,no
37,unemployed,8000,single,primary,yes,1648,yes,unknown,no
60,management,100000,married,tertiary,yes,13360,no,unknown,no
37,admin.,50000,married,secondary,yes,641,yes,unknown,no
45,housemaid,16000,married,tertiary,yes,2424,no,unknown,no
37,entrepreneur,120000,divorced,secondary,yes,14,no,unknown,no
55,retired,55000,married,primary,yes,0,no,unknown,no
56,management,100000,divorced,tertiary,no,982,no,unknown,no
31,blue-collar,20000,married,secondary,yes,1779,yes,unknown,no
55,housemaid,16000,single,primary,yes,0,no,unknown,no
46,admin.,50000,single,secondary,yes,849,yes,unknown,no
56,blue-collar,20000,married,primary,yes,206,no,unknown,no
28,admin.,50000,single,secondary,yes,25,yes,unknown,no
35,blue-collar,20000,single,primary,yes,227,no,unknown,no
44,services,70000,married,unknown,no,67,yes,unknown,no
50,retired,55000,married,primary,yes,420,no,unknown,no
42,unknown,0,single,unknown,no,1316,no,unknown,no
51,technician,60000,divorced,secondary,yes,1,yes,unknown,no
42,unemployed,8000,married,secondary,yes,202,no,unknown,no
42,technician,60000,married,secondary,yes,769,no,unknown,no
59,housemaid,16000,married,primary,yes,495,no,unknown,no
48,management,100000,married,tertiary,yes,2960,no,unknown,no
57,housemaid,16000,divorced,primary,yes,3063,no,unknown,no
56,retired,55000,married,primary,yes,842,no,unknown,no
48,blue-collar,20000,single,primary,yes,316,no,unknown,no
59,blue-collar,20000,married,unknown,no,139,no,unknown,no
36,blue-collar,20000,married,secondary,yes,346,yes,unknown,no
43,blue-collar,20000,single,secondary,yes,318,yes,unknown,no
44,unemployed,8000,married,tertiary,yes,1151,yes,unknown,no
47,management,100000,married,tertiary,yes,0,no,unknown,no
27,management,100000,single,tertiary,no,703,yes,unknown,no
60,blue-collar,20000,married,secondary,yes,40,no,unknown,no
59,unknown,0,married,primary,yes,1470,no,unknown,no
42,housemaid,16000,married,primary,yes,0,no,unknown,no
35,entrepreneur,120000,single,tertiary,no,1800,yes,unknown,no
45,services,70000,married,secondary,yes,0,no,unknown,no
60,retired,55000,married,secondary,yes,4820,no,unknown,no
38,management,100000,divorced,tertiary,no,4207,no,unknown,no
53,unemployed,8000,divorced,secondary,yes,1242,no,unknown,no
37,technician,60000,single,secondary,yes,0,no,unknown,no
54,entrepreneur,120000,married,tertiary,yes,11464,no,unknown,no
39,services,70000,married,secondary,yes,0,no,unknown,no
45,services,70000,married,secondary,yes,6397,yes,unknown,no
42,admin.,50000,single,secondary,yes,2758,yes,unknown,no
50,management,100000,married,unknown,no,3304,no,unknown,no
47,blue-collar,20000,married,primary,yes,0,no,unknown,yes
38,services,70000,divorced,secondary,yes,61,no,unknown,no
42,blue-collar,20000,married,secondary,yes,865,no,unknown,no
46,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
39,blue-collar,20000,married,secondary,yes,3231,yes,unknown,no
56,management,100000,married,primary,yes,7747,no,unknown,no
49,blue-collar,20000,married,secondary,yes,787,yes,unknown,no
39,admin.,50000,single,secondary,yes,0,yes,unknown,no
61,housemaid,16000,married,unknown,no,0,no,unknown,no
45,blue-collar,20000,married,primary,yes,1227,no,unknown,no
32,blue-collar,20000,single,secondary,yes,226,yes,unknown,no
53,services,70000,divorced,primary,yes,3107,no,unknown,no
53,housemaid,16000,married,primary,yes,104,no,unknown,no
36,unemployed,8000,single,primary,yes,1201,yes,unknown,no
37,management,100000,divorced,tertiary,no,168,yes,unknown,no
54,housemaid,16000,divorced,secondary,yes,1327,no,unknown,no
58,admin.,50000,married,unknown,no,4318,no,unknown,no
46,blue-collar,20000,married,primary,yes,5164,yes,unknown,no
49,management,100000,married,tertiary,yes,414,yes,unknown,no
41,admin.,50000,married,secondary,yes,4320,yes,unknown,no
48,admin.,50000,married,secondary,yes,476,no,unknown,no
47,blue-collar,20000,married,secondary,yes,1996,no,unknown,no
56,housemaid,16000,divorced,primary,yes,1238,no,unknown,yes
41,housemaid,16000,married,secondary,yes,879,no,unknown,no
37,blue-collar,20000,married,secondary,yes,196,yes,unknown,no
29,blue-collar,20000,married,secondary,yes,185,yes,unknown,no
29,self-employed,60000,married,secondary,yes,425,yes,unknown,no
48,management,100000,married,primary,yes,0,yes,unknown,no
30,entrepreneur,120000,single,tertiary,no,734,yes,unknown,no
37,technician,60000,single,secondary,yes,255,no,unknown,no
38,admin.,50000,married,secondary,yes,4458,yes,unknown,no
60,blue-collar,20000,married,secondary,yes,71,no,unknown,no
37,entrepreneur,120000,married,secondary,yes,351,yes,unknown,no
39,services,70000,married,secondary,yes,0,yes,unknown,no
55,management,100000,single,tertiary,no,7025,no,unknown,no
40,blue-collar,20000,married,primary,yes,743,no,unknown,no
51,unemployed,8000,married,primary,yes,0,no,unknown,no
33,housemaid,16000,divorced,secondary,yes,-18,yes,unknown,no
55,blue-collar,20000,married,secondary,yes,660,no,unknown,no
26,technician,60000,married,secondary,yes,-293,yes,unknown,no
38,self-employed,60000,married,unknown,no,10855,no,unknown,no
38,blue-collar,20000,married,secondary,yes,0,no,unknown,no
36,blue-collar,20000,married,primary,yes,130,yes,unknown,no
43,services,70000,single,secondary,yes,848,no,unknown,no
36,unknown,0,single,unknown,no,1070,no,unknown,no
48,technician,60000,married,unknown,no,460,no,unknown,no
38,services,70000,single,tertiary,no,1222,yes,unknown,no
44,services,70000,divorced,secondary,yes,-389,yes,unknown,no
37,blue-collar,20000,single,primary,yes,0,yes,unknown,no
58,blue-collar,20000,married,secondary,yes,0,no,unknown,no
38,services,70000,married,secondary,yes,2600,no,unknown,no
37,blue-collar,20000,married,unknown,no,1795,yes,unknown,no
45,blue-collar,20000,single,secondary,yes,143,no,unknown,no
46,technician,60000,married,secondary,yes,792,no,unknown,no
29,services,70000,married,primary,yes,549,yes,unknown,no
39,admin.,50000,married,secondary,yes,15,no,unknown,no
41,admin.,50000,married,secondary,yes,21515,yes,unknown,no
44,management,100000,married,tertiary,yes,588,yes,unknown,no
48,services,70000,single,secondary,yes,220,no,unknown,no
39,unknown,0,single,secondary,yes,914,no,unknown,no
48,admin.,50000,married,secondary,yes,1099,no,unknown,no
36,admin.,50000,single,unknown,no,1815,no,unknown,no
44,technician,60000,married,secondary,yes,1210,no,unknown,no
37,admin.,50000,married,secondary,yes,637,no,unknown,no
56,retired,55000,married,primary,yes,855,no,unknown,no
39,services,70000,single,secondary,yes,117,yes,unknown,no
50,technician,60000,divorced,tertiary,no,1044,no,unknown,no
41,blue-collar,20000,married,secondary,yes,1459,no,unknown,no
48,entrepreneur,120000,divorced,tertiary,no,275,no,unknown,no
59,housemaid,16000,married,primary,yes,500,no,unknown,no
50,entrepreneur,120000,single,primary,yes,1659,no,unknown,no
36,self-employed,60000,married,secondary,yes,4579,yes,unknown,no
40,services,70000,single,secondary,yes,1038,no,unknown,no
55,admin.,50000,single,secondary,yes,533,no,unknown,no
52,management,100000,married,primary,yes,0,no,unknown,no
40,management,100000,single,secondary,yes,269,no,unknown,no
50,housemaid,16000,married,secondary,yes,34,yes,unknown,no
59,management,100000,married,primary,yes,3694,yes,unknown,no
52,management,100000,married,tertiary,yes,1111,no,unknown,no
40,unemployed,8000,married,secondary,yes,1779,yes,unknown,no
55,retired,55000,married,tertiary,yes,2996,no,unknown,no
53,retired,55000,married,secondary,yes,1554,no,unknown,no
40,self-employed,60000,married,tertiary,yes,1750,no,unknown,no
35,self-employed,60000,married,secondary,yes,188,yes,unknown,no
24,admin.,50000,married,secondary,yes,541,yes,unknown,no
53,management,100000,married,tertiary,yes,652,no,unknown,no
52,services,70000,married,secondary,yes,91,yes,unknown,no
38,admin.,50000,single,secondary,yes,3239,no,unknown,no
44,technician,60000,married,secondary,yes,358,no,unknown,no
39,blue-collar,20000,divorced,primary,yes,-294,yes,unknown,yes
45,retired,55000,divorced,secondary,yes,229,no,unknown,no
32,blue-collar,20000,married,secondary,yes,95,yes,unknown,no
48,management,100000,married,tertiary,yes,1733,no,unknown,no
37,unknown,0,married,primary,yes,808,no,unknown,no
59,management,100000,married,primary,yes,2269,no,unknown,no
35,admin.,50000,married,secondary,yes,214,yes,unknown,no
37,blue-collar,20000,married,secondary,yes,0,no,unknown,no
41,technician,60000,married,tertiary,yes,13,no,unknown,no
45,services,70000,married,secondary,yes,1550,yes,unknown,no
43,management,100000,divorced,secondary,yes,130,yes,unknown,no
42,management,100000,married,tertiary,yes,477,yes,unknown,no
59,blue-collar,20000,married,primary,yes,8562,no,unknown,no
58,retired,55000,married,secondary,yes,150,yes,unknown,no
41,self-employed,60000,married,secondary,yes,20,no,unknown,no
38,technician,60000,single,tertiary,no,-572,yes,unknown,no
38,admin.,50000,married,secondary,yes,884,yes,unknown,no
57,self-employed,60000,single,secondary,yes,3277,no,unknown,no
40,services,70000,married,secondary,yes,429,no,unknown,no
44,unemployed,8000,married,primary,yes,97,yes,unknown,no
33,management,100000,married,tertiary,yes,113,yes,unknown,no
36,blue-collar,20000,divorced,secondary,yes,-11,no,unknown,no
39,blue-collar,20000,single,unknown,no,3583,no,unknown,no
55,unemployed,8000,married,tertiary,yes,457,yes,unknown,no
53,unknown,0,married,unknown,no,1347,no,unknown,no
45,blue-collar,20000,married,secondary,yes,146,yes,unknown,no
50,technician,60000,married,secondary,yes,416,yes,unknown,no
39,blue-collar,20000,single,primary,yes,323,yes,unknown,no
39,blue-collar,20000,married,primary,yes,12848,yes,unknown,no
49,technician,60000,married,secondary,yes,550,yes,unknown,no
30,technician,60000,married,secondary,yes,-1019,yes,unknown,yes
45,blue-collar,20000,divorced,primary,yes,844,no,unknown,no
38,blue-collar,20000,single,secondary,yes,68,no,unknown,no
42,blue-collar,20000,married,secondary,yes,698,no,unknown,no
36,admin.,50000,single,secondary,yes,-17,yes,unknown,no
30,services,70000,married,secondary,yes,311,yes,unknown,no
53,entrepreneur,120000,married,primary,yes,943,yes,unknown,no
36,management,100000,married,tertiary,yes,1357,yes,unknown,no
56,management,100000,married,primary,yes,0,no,unknown,no
44,unemployed,8000,married,primary,yes,280,yes,unknown,no
58,admin.,50000,married,secondary,yes,1464,yes,unknown,no
39,technician,60000,single,secondary,yes,1820,no,unknown,no
55,management,100000,married,unknown,no,0,no,unknown,no
39,blue-collar,20000,single,primary,yes,1537,no,unknown,no
49,admin.,50000,married,secondary,yes,1677,no,unknown,no
51,technician,60000,married,primary,yes,223,yes,unknown,no
39,admin.,50000,married,secondary,yes,1595,yes,unknown,no
53,technician,60000,divorced,secondary,yes,12,no,unknown,no
41,management,100000,married,tertiary,yes,140,yes,unknown,no
35,admin.,50000,single,secondary,yes,2452,yes,unknown,no
37,self-employed,60000,single,tertiary,no,281,yes,unknown,no
35,entrepreneur,120000,married,secondary,yes,2074,yes,unknown,no
38,services,70000,married,secondary,yes,5,no,unknown,no
41,management,100000,married,tertiary,yes,1304,yes,unknown,no
35,blue-collar,20000,married,secondary,yes,860,yes,unknown,no
26,blue-collar,20000,married,secondary,yes,986,yes,unknown,no
41,blue-collar,20000,married,secondary,yes,0,no,unknown,no
58,housemaid,16000,married,primary,yes,419,no,unknown,no
58,blue-collar,20000,married,secondary,yes,266,yes,unknown,no
42,technician,60000,married,tertiary,yes,1189,no,unknown,no
40,unemployed,8000,married,secondary,yes,3924,no,unknown,no
52,self-employed,60000,single,tertiary,no,1623,yes,unknown,no
51,services,70000,married,unknown,no,518,no,unknown,no
57,retired,55000,married,primary,yes,3594,no,unknown,no
46,management,100000,married,unknown,no,2296,no,unknown,no
29,technician,60000,single,secondary,yes,3313,yes,unknown,no
40,blue-collar,20000,married,primary,yes,1613,yes,unknown,no
36,management,100000,married,tertiary,yes,-661,yes,unknown,no
55,blue-collar,20000,married,primary,yes,2171,no,unknown,no
32,management,100000,single,tertiary,no,1742,no,unknown,no
58,admin.,50000,married,primary,yes,549,no,unknown,no
38,student,4000,single,tertiary,no,1523,yes,unknown,no
46,admin.,50000,single,secondary,yes,1790,yes,unknown,no
44,technician,60000,married,secondary,yes,363,no,unknown,no
26,services,70000,single,secondary,yes,512,yes,unknown,no
37,management,100000,married,tertiary,yes,636,no,unknown,no
57,technician,60000,married,primary,yes,0,no,unknown,no
28,admin.,50000,single,unknown,no,731,yes,unknown,no
47,blue-collar,20000,married,unknown,no,3460,yes,unknown,no
40,entrepreneur,120000,married,primary,yes,4674,no,unknown,no
35,blue-collar,20000,married,primary,yes,3279,no,unknown,no
40,blue-collar,20000,married,primary,yes,12,yes,unknown,no
39,admin.,50000,single,primary,yes,2805,no,unknown,no
24,student,4000,single,primary,yes,0,no,unknown,no
34,blue-collar,20000,single,secondary,yes,1848,yes,unknown,no
34,management,100000,single,tertiary,no,125,yes,unknown,no
38,technician,60000,married,secondary,yes,635,no,unknown,no
55,management,100000,divorced,secondary,yes,394,no,unknown,no
39,technician,60000,single,tertiary,no,1646,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,249,yes,unknown,no
45,self-employed,60000,married,tertiary,yes,334,no,unknown,no
47,admin.,50000,married,secondary,yes,407,yes,unknown,no
46,blue-collar,20000,married,primary,yes,2093,no,unknown,no
53,blue-collar,20000,married,primary,yes,0,yes,unknown,no
51,admin.,50000,married,secondary,yes,1699,no,unknown,no
59,management,100000,single,tertiary,no,911,no,unknown,no
39,blue-collar,20000,married,primary,yes,3127,yes,unknown,no
52,blue-collar,20000,married,primary,yes,-133,no,unknown,no
39,blue-collar,20000,single,unknown,no,2841,yes,unknown,no
41,blue-collar,20000,married,primary,yes,2770,yes,unknown,no
42,blue-collar,20000,married,secondary,yes,-355,yes,unknown,no
42,self-employed,60000,married,tertiary,yes,21861,no,unknown,no
52,management,100000,married,secondary,yes,3258,no,unknown,no
47,unemployed,8000,married,primary,yes,122,no,unknown,no
39,self-employed,60000,divorced,secondary,yes,-103,no,unknown,yes
42,blue-collar,20000,married,secondary,yes,230,yes,unknown,no
38,admin.,50000,married,primary,yes,3,yes,unknown,no
39,services,70000,single,secondary,yes,609,no,unknown,no
35,housemaid,16000,single,secondary,yes,1015,yes,unknown,no
58,technician,60000,married,primary,yes,-247,no,unknown,yes
56,management,100000,divorced,tertiary,no,0,no,unknown,no
46,management,100000,married,tertiary,yes,625,yes,unknown,no
60,technician,60000,divorced,secondary,yes,0,no,unknown,no
39,unknown,0,married,secondary,yes,1701,no,unknown,no
48,entrepreneur,120000,single,tertiary,no,2313,no,unknown,no
39,blue-collar,20000,married,secondary,yes,599,yes,unknown,no
41,blue-collar,20000,single,secondary,yes,656,no,unknown,no
36,services,70000,married,secondary,yes,1328,yes,unknown,no
44,management,100000,single,secondary,yes,13,no,unknown,no
32,services,70000,married,secondary,yes,21,no,unknown,no
37,services,70000,single,secondary,yes,2571,no,unknown,no
51,management,100000,married,tertiary,yes,12,no,unknown,no
32,blue-collar,20000,married,primary,yes,1138,yes,unknown,no
41,services,70000,married,secondary,yes,-140,no,unknown,no
26,management,100000,single,secondary,yes,565,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,2836,no,unknown,no
36,housemaid,16000,married,primary,yes,122,no,unknown,no
39,unknown,0,single,secondary,yes,0,no,unknown,no
56,services,70000,married,primary,yes,444,yes,unknown,no
39,self-employed,60000,married,tertiary,yes,1047,no,unknown,no
52,housemaid,16000,married,primary,yes,1837,no,unknown,no
30,blue-collar,20000,divorced,primary,yes,1,yes,unknown,no
25,management,100000,single,tertiary,no,490,yes,unknown,no
60,retired,55000,married,secondary,yes,-1110,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,0,no,unknown,no
54,entrepreneur,120000,married,secondary,yes,2791,no,unknown,no
40,services,70000,single,secondary,yes,546,yes,unknown,no
37,blue-collar,20000,married,primary,yes,27,no,unknown,no
43,entrepreneur,120000,married,tertiary,yes,5506,no,unknown,no
39,management,100000,divorced,unknown,no,401,no,unknown,no
33,blue-collar,20000,married,primary,yes,3704,yes,unknown,no
28,blue-collar,20000,married,secondary,yes,708,yes,unknown,no
27,services,70000,single,secondary,yes,482,yes,unknown,no
44,management,100000,divorced,tertiary,no,0,no,unknown,no
38,management,100000,married,tertiary,yes,881,no,unknown,no
41,technician,60000,married,secondary,yes,118,no,unknown,no
44,admin.,50000,married,secondary,yes,248,no,unknown,no
54,management,100000,married,tertiary,yes,884,yes,unknown,no
30,technician,60000,single,tertiary,no,799,yes,unknown,no
39,blue-collar,20000,married,primary,yes,0,no,unknown,no
51,self-employed,60000,married,primary,yes,10,no,unknown,no
38,blue-collar,20000,married,secondary,yes,292,yes,unknown,no
36,management,100000,single,secondary,yes,992,no,unknown,no
36,blue-collar,20000,single,secondary,yes,1012,yes,unknown,no
35,management,100000,single,secondary,yes,0,no,unknown,no
37,self-employed,60000,single,tertiary,no,984,no,unknown,no
50,blue-collar,20000,single,primary,yes,1743,yes,unknown,no
38,management,100000,married,secondary,yes,794,yes,unknown,no
40,management,100000,single,tertiary,no,383,yes,unknown,no
46,unknown,0,married,unknown,no,2505,no,unknown,no
39,admin.,50000,married,secondary,yes,441,no,unknown,no
48,blue-collar,20000,married,primary,yes,72,yes,unknown,no
38,unknown,0,married,primary,yes,0,no,unknown,no
38,blue-collar,20000,single,secondary,yes,1230,yes,unknown,no
58,unknown,0,married,tertiary,yes,4150,no,unknown,no
31,technician,60000,single,unknown,no,694,yes,unknown,no
51,management,100000,married,tertiary,yes,9796,no,unknown,no
41,housemaid,16000,divorced,primary,yes,9059,no,unknown,no
26,blue-collar,20000,single,secondary,yes,940,yes,unknown,no
26,technician,60000,single,secondary,yes,639,yes,unknown,no
26,admin.,50000,married,secondary,yes,710,yes,unknown,no
28,admin.,50000,married,secondary,yes,-156,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,926,no,unknown,no
53,management,100000,married,tertiary,yes,6408,no,unknown,no
56,management,100000,married,tertiary,yes,3039,no,unknown,no
27,admin.,50000,single,secondary,yes,685,yes,unknown,no
48,blue-collar,20000,divorced,primary,yes,0,no,unknown,no
56,unknown,0,divorced,unknown,no,2152,no,unknown,no
37,blue-collar,20000,married,unknown,no,1508,no,unknown,no
41,blue-collar,20000,married,secondary,yes,901,yes,unknown,no
38,blue-collar,20000,married,primary,yes,8251,no,unknown,no
29,technician,60000,single,secondary,yes,778,yes,unknown,no
43,blue-collar,20000,married,secondary,yes,101,no,unknown,no
60,housemaid,16000,married,primary,yes,161,no,unknown,no
36,admin.,50000,married,secondary,yes,4785,no,unknown,no
38,admin.,50000,single,secondary,yes,3823,no,unknown,no
40,technician,60000,married,secondary,yes,-282,yes,unknown,no
58,entrepreneur,120000,married,primary,yes,1657,no,unknown,no
41,blue-collar,20000,divorced,secondary,yes,1491,yes,unknown,no
47,unknown,0,married,unknown,no,750,no,unknown,no
60,technician,60000,married,tertiary,yes,0,no,unknown,no
37,services,70000,single,secondary,yes,148,no,unknown,no
58,technician,60000,divorced,secondary,yes,797,yes,unknown,no
30,management,100000,single,tertiary,no,329,yes,unknown,no
47,admin.,50000,married,secondary,yes,1060,yes,unknown,no
46,unknown,0,married,unknown,no,613,no,unknown,no
54,services,70000,single,secondary,yes,492,no,unknown,no
58,management,100000,divorced,tertiary,no,1266,no,unknown,no
41,entrepreneur,120000,married,primary,yes,406,no,unknown,no
53,retired,55000,married,primary,yes,2010,no,unknown,no
35,self-employed,60000,single,primary,yes,45,no,unknown,no
46,technician,60000,married,tertiary,yes,0,no,unknown,no
51,entrepreneur,120000,married,tertiary,yes,5403,no,unknown,no
35,self-employed,60000,married,secondary,yes,116,no,unknown,no
48,technician,60000,married,secondary,yes,545,no,unknown,no
37,self-employed,60000,single,tertiary,no,1004,yes,unknown,no
35,housemaid,16000,married,primary,yes,8127,no,unknown,no
51,housemaid,16000,married,primary,yes,1521,no,unknown,no
36,unemployed,8000,married,secondary,yes,1453,no,unknown,no
50,blue-collar,20000,married,primary,yes,-294,yes,unknown,no
60,retired,55000,married,primary,yes,22018,no,unknown,no
35,blue-collar,20000,married,secondary,yes,3595,no,unknown,no
55,blue-collar,20000,divorced,secondary,yes,4053,no,unknown,no
36,technician,60000,single,secondary,yes,300,yes,unknown,no
59,housemaid,16000,divorced,secondary,yes,45141,no,unknown,no
37,management,100000,married,tertiary,yes,657,no,unknown,no
39,services,70000,married,secondary,yes,-540,no,unknown,no
34,technician,60000,married,secondary,yes,139,yes,unknown,no
53,blue-collar,20000,married,secondary,yes,66,no,unknown,no
50,blue-collar,20000,married,primary,yes,746,yes,unknown,no
